iter	RMSE
0	7.953743909
1	7.895960007
2	7.839169212
3	7.789876512
4	7.746547586
5	7.702388659
6	7.665212324
7	7.633144855
8	7.604141773
9	7.571903682
10	7.542361808
11	7.516450844
12	7.494426852
13	7.473616503
14	7.452710307
15	7.4321786
16	7.415476653
17	7.399083312
18	7.383767934
19	7.371304865
20	7.359529799
21	7.349870849
22	7.336896918
23	7.327025855
24	7.314816587
25	7.307067038
26	7.296383798
27	7.287308691
28	7.279080168
29	7.272108959
30	7.263048681
31	7.256652803
32	7.250053444
33	7.243144879
34	7.236920269
35	7.230147623
36	7.223687059
37	7.217757792
38	7.214087887
39	7.20851709
40	7.203385085
41	7.197824075
42	7.192066971
43	7.186383952
44	7.182172624
45	7.174888693
46	7.169383491
47	7.166495815
48	7.162269211
49	7.158076614
50	7.153358822
51	7.149143238
52	7.144472677
53	7.138254684
54	7.134229594
55	7.129547963
56	7.126798176
57	7.121009055
58	7.118254237
59	7.115445363
60	7.111260489
61	7.107563008
62	7.102702482
63	7.097865626
64	7.093757076
65	7.091320606
66	7.087872263
67	7.085131112
68	7.079164929
69	7.076253544
70	7.071095192
71	7.06653746
72	7.061986653
73	7.059635297
74	7.056582325
75	7.053709534
76	7.049350434
77	7.045703572
78	7.043196762
79	7.040186671
80	7.037151806
81	7.034018543
82	7.03024219
83	7.028776717
84	7.023832059
85	7.022262862
86	7.019718084
87	7.016843241
88	7.014494698
89	7.012046913
90	7.008024335
91	7.005571473
92	7.002043278
93	6.998985547
94	6.99618129
95	6.993532288
96	6.991360487
97	6.989024538
98	6.986013788
99	6.984186749
100	6.979434136
101	6.975731966
102	6.972409073
103	6.969174572
104	6.965411875
105	6.963047483
106	6.960960268
107	6.958280044
108	6.956328646
109	6.953649634
110	6.951258818
111	6.948469774
112	6.946912865
113	6.943766502
114	6.939968901
115	6.936614088
116	6.934780615
117	6.930530504
118	6.92574098
119	6.922610776
120	6.917443621
121	6.916432979
122	6.913557899
123	6.9090564
124	6.906234818
125	6.902594843
126	6.901265768
127	6.900365057
128	6.896697433
129	6.893999749
130	6.890952409
131	6.887515483
132	6.885365288
133	6.882383921
134	6.878563981
135	6.876642751
136	6.872429355
137	6.869710618
138	6.865853405
139	6.863532652
140	6.860925655
141	6.857427675
142	6.855086502
143	6.849249239
144	6.845933859
145	6.842843988
146	6.838147417
147	6.836201777
148	6.831004909
149	6.82819733
150	6.825959947
151	6.822452255
152	6.821333392
153	6.815885008
154	6.814182559
155	6.811595756
156	6.807502758
157	6.803489978
158	6.801576008
159	6.797981783
160	6.794165074
