iter	Passed	Remaining
0	16	16357
1	21	10485
2	25	8453
3	43	10821
4	48	9635
5	52	8769
6	57	8168
7	61	7662
8	66	7283
9	70	6959
10	74	6716
11	79	6535
12	84	6427
13	89	6302
14	94	6212
15	99	6127
16	104	6058
17	109	5972
18	114	5910
19	119	5837
20	124	5791
21	129	5742
22	133	5687
23	138	5630
24	143	5577
25	147	5527
26	152	5482
27	156	5442
28	161	5401
29	166	5367
30	170	5332
31	174	5293
32	179	5259
33	184	5229
34	188	5199
35	193	5170
36	197	5142
37	202	5118
38	206	5097
39	211	5071
40	215	5044
41	220	5025
42	224	5002
43	229	4979
44	233	4959
45	238	4939
46	242	4918
47	246	4898
48	251	4878
49	255	4860
50	260	4842
51	264	4825
52	269	4807
53	273	4790
54	278	4783
55	283	4773
56	287	4757
57	291	4741
58	296	4727
59	300	4709
60	305	4697
61	309	4681
62	313	4668
63	318	4656
64	322	4643
65	327	4631
66	331	4618
67	336	4606
68	340	4595
69	344	4582
70	349	4573
71	353	4561
72	358	4553
73	363	4543
74	367	4529
75	371	4518
76	376	4507
77	380	4496
78	384	4486
79	389	4475
80	393	4465
81	397	4454
82	402	4445
83	406	4435
84	411	4429
85	415	4419
86	420	4410
87	424	4403
88	429	4400
89	434	4389
90	438	4381
91	442	4371
92	447	4361
93	451	4351
94	456	4346
95	460	4339
96	465	4331
97	469	4323
98	474	4315
99	478	4307
100	482	4298
101	487	4292
102	492	4288
103	497	4284
104	502	4280
105	506	4272
106	511	4265
107	515	4259
108	520	4251
109	524	4247
110	529	4240
111	533	4233
112	538	4227
113	543	4220
114	547	4213
115	551	4206
116	556	4198
117	560	4192
118	565	4186
119	569	4179
120	574	4172
121	578	4164
122	583	4158
123	587	4150
124	592	4144
125	596	4138
126	601	4131
127	605	4124
128	609	4116
129	614	4110
130	618	4104
131	623	4097
132	627	4090
133	631	4084
134	636	4078
135	641	4072
136	645	4066
137	650	4060
138	654	4054
139	658	4048
140	663	4041
141	667	4035
142	672	4028
143	676	4022
144	681	4017
145	685	4010
146	690	4004
147	694	3998
148	698	3992
149	703	3985
150	707	3979
151	712	3972
152	716	3966
153	721	3961
154	725	3955
155	729	3949
156	734	3942
157	738	3936
158	743	3931
159	748	3927
160	752	3923
161	757	3918
162	762	3914
163	766	3907
164	771	3903
165	775	3897
166	780	3890
167	784	3887
168	789	3881
169	793	3874
170	797	3868
171	802	3862
172	806	3856
173	811	3851
174	815	3845
175	820	3839
176	824	3834
177	829	3828
178	833	3822
179	837	3816
180	842	3812
181	847	3806
182	851	3801
183	855	3795
184	860	3789
185	864	3784
186	869	3778
187	873	3772
188	877	3766
189	882	3761
190	886	3756
191	891	3750
192	895	3745
193	900	3739
194	904	3734
195	909	3731
196	914	3726
197	918	3720
198	923	3715
199	927	3709
200	931	3703
201	936	3698
202	940	3692
203	944	3687
204	949	3681
